mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	0
2	2	2	2	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	4
2	2	3	3	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	2
2	2	3	3	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	3
2	2	3	3	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	1
3	3	4	4	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	10
3	3	4	4	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	8
3	3	4	4	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	7
3	3	4	4	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	5
3	3	5	5	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	9
3	3	5	5	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	6
4	4	6	6	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	16
4	4	6	6	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	13
4	4	6	6	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	14
4	4	6	6	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	11
4	4	7	7	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	17
4	4	7	7	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	15
4	4	7	7	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	12
5	5	8	8	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	25
5	5	8	8	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	21
5	5	8	8	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	22
5	5	8	8	1.0	0	0	2/4	1	1	1/4	1/4	1		-1	89	F6	6	18
5	5	9	9	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	26
5	5	9	9	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	23
5	5	9	9	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	19
5	5	19/2	19/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	24
5	5	19/2	19/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	20
6	6	10	10	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	30
6	6	10	10	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	28
6	6	10	10	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	29
6	6	10	10	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	27
7	7	12	12	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	31
8	8	14	14	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	35
8	8	15	15	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	33
8	8	15	15	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	34
8	8	15	15	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	32
9	9	16	16	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	41
9	9	16	16	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	39
9	9	16	16	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	38
9	9	16	16	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	36
9	9	17	17	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	40
9	9	17	17	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	37
10	10	18	18	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	47
10	10	18	18	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	44
10	10	18	18	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	45
10	10	18	18	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	42
10	10	19	19	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	48
10	10	19	19	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	46
10	10	19	19	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	43
11	11	20	20	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	58
11	11	20	20	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	53
11	11	20	20	0.5	0	0	2/4	5	1	1/8	1/8	1		1	79	G5	5	54
11	11	20	20	0.5	0	0	2/4	1	1	1/8	1/8	1		1	91	G6	6	49
