mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	1	0a	0	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	2	1a	1/2	1.5	-2	3/8	3/8	0										3
3	2	3	2a	2	1.5	-2	3/8	3/8	0										4
4	3	4	3a	7/2	1.5	-2	3/8	3/8	0										5
5	4	5	4a	5	1.5	-2	3/8	3/8	0										6
6	5	6	5a	13/2	1.5	-2	3/8	3/8	0										7
7	6	7	6a	8	1.5	-2	3/8	3/8	0										8
8	7	8	7a	19/2	1.5	-2	3/8	3/8	0										9
9	8	9	8a	11	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
1	0	10	8a	12	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	11	1b	25/2	1.5	-2	3/8	3/8	0										3
3	2	12	2b	14	1.5	-2	3/8	3/8	0										4
4	3	13	3b	31/2	1.5	-2	3/8	3/8	0										5
5	4	14	4b	17	1.5	-2	3/8	3/8	0										6
6	5	15	5b	37/2	1.5	-2	3/8	3/8	0										7
7	6	16	6b	20	1.5	-2	3/8	3/8	0										8
8	7	17	7b	43/2	1.5	-2	3/8	3/8	0										9
9	8	18	8b	23	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
10	8	19	8b	24	0.5	-2	3/8	1/8	1/4		1			start	1e				11
11	9	20	9a	49/2	1.5	-2	3/8	3/8	0										12
12	10	21	10a	26	1.5	-2	3/8	3/8	0										13
13	11	22	11a	55/2	1.5	-2	3/8	3/8	0										14
14	12	23	12a	29	1.5	-2	3/8	3/8	0										15
15	13	24	13a	61/2	1.5	-2	3/8	3/8	0										16
16	14	25	14a	32	1.5	-2	3/8	3/8	0										17
17	15	26	15a	67/2	1.5	-2	3/8	3/8	0										18
18	16	27	16a	35	1.0	-2	3/8	1/4	0					end		start	2e	segno	10, 1
10	8	28	16a	36	0.5	-2	3/8	1/8	1/4		1			start	1e				11
11	9	29	9b	73/2	1.5	-2	3/8	3/8	0										12
12	10	30	10b	38	1.5	-2	3/8	3/8	0										13
