mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	9.0	0	3/4	2/2	1	1		.c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	4	3a	9	9	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
4	3	4	3a	10	10	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	4	3a	11	11	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
4	3	4	3a	12	12	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
5	4	5	4a	13	13	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
6	5	6	5a	17	17	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	6	7	6a	21	21	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	6	7	6a	24	24	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
8	7	8	7a	25	25	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	8	7a	26	26	1.0	1/4	1/4	2/2	1	1		.It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
8	7	8	7a	27	27	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	8	7a	28	28	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
9	8	9	8a	29	29	3.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
1	0	10	8a	32	0	9.0	0	3/4	2/2	1	1		.c.i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	13	3b	41	9	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
4	3	13	3b	42	10	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
4	3	13	3b	43	11	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
4	3	13	3b	44	12	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
5	4	14	4b	45	13	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
6	5	15	5b	49	17	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
7	6	16	6b	53	21	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	6	16	6b	56	24	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
8	7	17	7b	57	25	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	17	7b	58	26	1.0	1/4	1/4	2/2	1	1		.It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
8	7	17	7b	59	27	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
8	7	17	7b	60	28	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
9	8	18	8b	61	29	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
11	9	20	9a	65	33	2.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
11	9	20	9a	67	35	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
12	10	21	10a	69	37	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
12	10	21	10a	71	39	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
13	11	22	11a	73	41	2.0	0	0	2/2	1	1		iv6(9)	c	i		iv6(9)		iv		6	9					m	1	1	-4, 0, -1	1	-1	-4
13	11	22	11a	75	43	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	11	22	11a	76	44	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
14	12	23	12a	77	45	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
15	13	24	13a	81	49	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
16	14	25	14a	85	53	1.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
16	14	25	14a	86	54	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
16	14	25	14a	87	55	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
16	14	25	14a	88	56	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
17	15	26	15a	89	57	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
17	15	26	15a	90	58	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
17	15	26	15a	91	59	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
17	15	26	15a	92	60	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
18	16	27	16a	93	61	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
11	9	29	9b	97	33	2.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
11	9	29	9b	99	35	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
